  
  
# r(i) [cm]  Tk(i) [K]
  
1.0396785741E+0010  3.2490435638E+0003
1.0402490940E+0010  3.2740865441E+0003
1.0408354159E+0010  3.2989856986E+0003
1.0414382839E+0010  3.3237121117E+0003
1.0420584880E+0010  3.3482388013E+0003
1.0426968657E+0010  3.3725612316E+0003
1.0433542999E+0010  3.3966332606E+0003
1.0440317340E+0010  3.4204525651E+0003
1.0447301623E+0010  3.4439966692E+0003
1.0454506416E+0010  3.4672631034E+0003
1.0461942875E+0010  3.4902559613E+0003
1.0469622774E+0010  3.5129503635E+0003
1.0477558658E+0010  3.5353358437E+0003
1.0485763840E+0010  3.5574477059E+0003
1.0494252297E+0010  3.5792728472E+0003
1.0503038920E+0010  3.6008177729E+0003
1.0512139483E+0010  3.6221320837E+0003
1.0521570573E+0010  3.6432195601E+0003
1.0531349820E+0010  3.6640980333E+0003
1.0541495937E+0010  3.6847879644E+0003
1.0552028793E+0010  3.7053232458E+0003
1.0562969451E+0010  3.7257823432E+0003
1.0574340072E+0010  3.7462102636E+0003
1.0586164141E+0010  3.7666070588E+0003
1.0598466806E+0010  3.7870238952E+0003
1.0611274779E+0010  3.8075161540E+0003
1.0624616424E+0010  3.8280925301E+0003
1.0638522191E+0010  3.8488044909E+0003
1.0653024563E+0010  3.8698631514E+0003
1.0668157374E+0010  3.8915808294E+0003
1.0683955318E+0010  3.9143332710E+0003
1.0700453690E+0010  3.9386994835E+0003
1.0717687169E+0010  3.9652435358E+0003
1.0735689935E+0010  3.9945060586E+0003
1.0754495894E+0010  4.0270578098E+0003
1.0774138652E+0010  4.0631676672E+0003
1.0794653945E+0010  4.1030901477E+0003
1.0816080262E+0010  4.1468817974E+0003
1.0838460970E+0010  4.1944458587E+0003
1.0861846357E+0010  4.2457619684E+0003
1.0886293995E+0010  4.3005395324E+0003
1.0911872155E+0010  4.3588840354E+0003
1.0938657661E+0010  4.4205093546E+0003
1.0966740879E+0010  4.4856724173E+0003
1.0996222299E+0010  4.5541898027E+0003
1.1027218652E+0010  4.6262015852E+0003
1.1059862067E+0010  4.7017160269E+0003
1.1094304111E+0010  4.7808479555E+0003
1.1130717957E+0010  4.8640366794E+0003
1.1169298380E+0010  4.9514362516E+0003
1.1210269444E+0010  5.0433177233E+0003
1.1253888566E+0010  5.1393762220E+0003
1.1300460998E+0010  5.2405305759E+0003
1.1350332260E+0010  5.3475210984E+0003
1.1403899247E+0010  5.4605358775E+0003
1.1461631027E+0010  5.5793655362E+0003
1.1524092066E+0010  5.7044381746E+0003
1.1591952879E+0010  5.8366971486E+0003
1.1666005774E+0010  5.9768697370E+0003
1.1747198233E+0010  6.1266677179E+0003
1.1836649013E+0010  6.2844937653E+0003
1.1935769220E+0010  6.4544486278E+0003
1.2046196318E+0010  6.6297191853E+0003
1.2170142771E+0010  6.8161171970E+0003
1.2310184589E+0010  7.0126783624E+0003
1.2469559323E+0010  7.2199773920E+0003
1.2652264052E+0010  7.4380369032E+0003
1.2863232289E+0010  7.6662398197E+0003
1.3108461934E+0010  7.9007469470E+0003
1.3395214992E+0010  8.1249530102E+0003
