  
  
#r(i)[cm]  v(i) [cm/s]
  
1.0244080854E+0010  5.4781875813E+0001
1.0245737541E+0010  5.6598669677E+0001
1.0247409413E+0010  5.8872387542E+0001
1.0249096842E+0010  6.0628992873E+0001
1.0250800208E+0010  6.2767617526E+0001
1.0252519899E+0010  6.5084453173E+0001
1.0254256323E+0010  6.6898541299E+0001
1.0256009891E+0010  6.9359868262E+0001
1.0257781034E+0010  7.1133570117E+0001
1.0259570190E+0010  7.3630899173E+0001
1.0261377816E+0010  7.5719691772E+0001
1.0263204384E+0010  7.7986029419E+0001
1.0265050373E+0010  8.0129563854E+0001
1.0266916285E+0010  8.2228829004E+0001
1.0268802632E+0010  8.4392511871E+0001
1.0270709950E+0010  8.6438196033E+0001
1.0272638781E+0010  8.8444627701E+0001
1.0274589694E+0010  9.0668215297E+0001
1.0276563273E+0010  9.2784054421E+0001
1.0278560123E+0010  9.5407466909E+0001
1.0280580870E+0010  9.7643553464E+0001
1.0282626159E+0010  1.0058967081E+0002
1.0284696657E+0010  1.0331017781E+0002
1.0286793054E+0010  1.0631737435E+0002
1.0288916068E+0010  1.0918529841E+0002
1.0291066434E+0010  1.1194339391E+0002
1.0293244914E+0010  1.1475344466E+0002
1.0295452303E+0010  1.1759038478E+0002
1.0297689417E+0010  1.2078140145E+0002
1.0299957104E+0010  1.2422898191E+0002
1.0302256245E+0010  1.2815518969E+0002
1.0304587754E+0010  1.3241898572E+0002
1.0306952577E+0010  1.3704534502E+0002
1.0309351696E+0010  1.4170168800E+0002
1.0311786126E+0010  1.4636414385E+0002
1.0314256924E+0010  1.5084722394E+0002
1.0316765182E+0010  1.5543393329E+0002
1.0319312038E+0010  1.6023421577E+0002
1.0321898673E+0010  1.6534667594E+0002
1.0324526317E+0010  1.7073592578E+0002
1.0327196248E+0010  1.7620929260E+0002
1.0329909793E+0010  1.8216051593E+0002
1.0332668337E+0010  1.8823480823E+0002
1.0335473313E+0010  1.9452983839E+0002
1.0338326220E+0010  2.0019287327E+0002
1.0341228611E+0010  2.0538735614E+0002
1.0344182109E+0010  2.1073333956E+0002
1.0347188399E+0010  2.1562889481E+0002
1.0350249249E+0010  2.2043310270E+0002
1.0353366496E+0010  2.2473742577E+0002
1.0356542058E+0010  2.2820835566E+0002
1.0359777940E+0010  2.3149958873E+0002
1.0363076235E+0010  2.3370800411E+0002
1.0366439124E+0010  2.3472943142E+0002
1.0369868895E+0010  2.3625804836E+0002
1.0373367934E+0010  2.3810969483E+0002
1.0376938744E+0010  2.3923621316E+0002
1.0380583955E+0010  2.4070971445E+0002
1.0384306322E+0010  2.4349769624E+0002
1.0388108723E+0010  2.4615700671E+0002
1.0391994176E+0010  2.4735671008E+0002
1.0395965857E+0010  2.4816163091E+0002
1.0400027106E+0010  2.5069185570E+0002
1.0404181423E+0010  2.5597604445E+0002
1.0408432483E+0010  2.6311331987E+0002
1.0412784149E+0010  2.7056267378E+0002
1.0417240487E+0010  2.7733764535E+0002
1.0421805780E+0010  2.8296496981E+0002
1.0426484543E+0010  2.8786341952E+0002
1.0431281525E+0010  2.9314988329E+0002
1.0436201748E+0010  2.9947496296E+0002
1.0441250521E+0010  3.0705621563E+0002
1.0446433449E+0010  3.1589648045E+0002
1.0451756454E+0010  3.2536076964E+0002
1.0457225785E+0010  3.3505157382E+0002
1.0462848040E+0010  3.4557917958E+0002
1.0468630210E+0010  3.5810796497E+0002
1.0474579720E+0010  3.7298712662E+0002
1.0480704429E+0010  3.8934442106E+0002
1.0487012683E+0010  4.0603088317E+0002
1.0493513283E+0010  4.2239297678E+0002
1.0500215560E+0010  4.3769903993E+0002
1.0507129394E+0010  4.5332026180E+0002
1.0514265277E+0010  4.7054978060E+0002
1.0521634340E+0010  4.8665665773E+0002
1.0529248255E+0010  5.0138715948E+0002
1.0537119308E+0010  5.1535643302E+0002
1.0545260400E+0010  5.2739658591E+0002
1.0553685026E+0010  5.4174230545E+0002
1.0562407234E+0010  5.5889516758E+0002
1.0571441514E+0010  5.7493467238E+0002
1.0580802689E+0010  5.9189497559E+0002
1.0590505833E+0010  6.1096643324E+0002
1.0600566234E+0010  6.3456666980E+0002
1.0610999270E+0010  6.6217812482E+0002
1.0621820317E+0010  6.8691999853E+0002
1.0633044569E+0010  7.1373420589E+0002
1.0644687206E+0010  7.3957553056E+0002
1.0656763635E+0010  7.7019324519E+0002
1.0669289383E+0010  8.0219487359E+0002
1.0682280478E+0010  8.3877687796E+0002
1.0695753790E+0010  8.8207967821E+0002
1.0709727572E+0010  9.2239584470E+0002
1.0724221210E+0010  9.6145296030E+0002
1.0739255861E+0010  9.9709312470E+0002
1.0754854982E+0010  1.0334999482E+0003
1.0771044658E+0010  1.0676787505E+0003
1.0787853513E+0010  1.1074597475E+0003
1.0805313621E+0010  1.1604802735E+0003
1.0823459846E+0010  1.2263737690E+0003
1.0842331515E+0010  1.2956308672E+0003
1.0861971639E+0010  1.3694122212E+0003
1.0882428389E+0010  1.4598938682E+0003
1.0903753709E+0010  1.5451311449E+0003
1.0926004713E+0010  1.6180114127E+0003
1.0949244430E+0010  1.7004929548E+0003
1.0973542445E+0010  1.7788858854E+0003
1.0998976010E+0010  1.8646025281E+0003
1.1025628025E+0010  1.9925856658E+0003
1.1053591223E+0010  2.1252093808E+0003
1.1082969900E+0010  2.2840946353E+0003
1.1113874928E+0010  2.4396361313E+0003
1.1146432452E+0010  2.6044139408E+0003
1.1180775576E+0010  2.7714758094E+0003
1.1217058146E+0010  2.9248357508E+0003
1.1255444303E+0010  3.0828452606E+0003
1.1296120678E+0010  3.2145287361E+0003
1.1339284461E+0010  3.4004730741E+0003
1.1385166426E+0010  3.5429243018E+0003
1.1434009112E+0010  3.7081788100E+0003
1.1486091597E+0010  3.9860381679E+0003
1.1541714151E+0010  4.3298268439E+0003
1.1601183314E+0010  4.6878048524E+0003
1.1664854971E+0010  5.1705753078E+0003
1.1733117406E+0010  5.4292639306E+0003
1.1806384449E+0010  5.8910085550E+0003
1.1885123297E+0010  6.6779391741E+0003
1.1969863371E+0010  7.4086313306E+0003
1.2061144174E+0010  7.9526388150E+0003
1.2159512825E+0010  8.6472526507E+0003
1.2265617678E+0010  9.4317473435E+0003
1.2380150032E+0010  9.9930175489E+0003
1.2503795684E+0010  1.0906886535E+0004
1.2637216576E+0010  1.1818670484E+0004
1.2781142200E+0010  1.3052984943E+0004
1.2936217345E+0010  1.4351851579E+0004
1.3103130343E+0010  1.5867715497E+0004
1.3282423650E+0010  1.6936932403E+0004
1.3474619727E+0010  1.8461665183E+0004
1.3680231012E+0010  1.9414493738E+0004
1.3899695610E+0010  2.1076610926E+0004
1.4133183862E+0010  2.2793575610E+0004
1.4380714078E+0010  2.4962599832E+0004
1.4642237337E+0010  2.6230171480E+0004
1.4917568780E+0010  2.7564869144E+0004
1.5206550721E+0010  2.9112154536E+0004
1.5508724638E+0010  3.1631395367E+0004
1.5823401895E+0010  3.3378875965E+0004
1.6149927592E+0010  3.4443873047E+0004
