  
  
#r(i)[cm]  rho(i) [g/cm^-3]
  
1.7935970021E+0010  3.5888759323E-0017
1.8317518542E+0010  3.3458410040E-0017
1.8704473217E+0010  3.1279784594E-0017
1.9095949270E+0010  2.9329481974E-0017
1.9491001097E+0010  2.7626235167E-0017
1.9888068519E+0010  2.6100931139E-0017
2.0286214180E+0010  2.4724126231E-0017
2.0684687919E+0010  2.3524252732E-0017
2.1082037225E+0010  2.2442144632E-0017
2.1477556325E+0010  2.1452672268E-0017
2.1870814091E+0010  2.0586567083E-0017
2.2260666976E+0010  1.9797990991E-0017
2.2646681188E+0010  1.9063803672E-0017
2.3028767568E+0010  1.8413335015E-0017
2.3406159208E+0010  1.7816517045E-0017
2.3778606861E+0010  1.7253341867E-0017
2.4146206460E+0010  1.6750338695E-0017
2.4508428227E+0010  1.6285407781E-0017
2.4865155216E+0010  1.5837708557E-0017
2.5216673972E+0010  1.5431919353E-0017
2.5562680446E+0010  1.5064290591E-0017
2.5902910979E+0010  1.4707137036E-0017
2.6237685992E+0010  1.4373377089E-0017
2.6566997332E+0010  1.4074824813E-0017
2.6890536434E+0010  1.3789817691E-0017
2.7208463751E+0010  1.3516324754E-0017
2.7520957815E+0010  1.3269658198E-0017
2.7827820052E+0010  1.3040477267E-0017
2.8129048583E+0010  1.2817374589E-0017
2.8424883166E+0010  1.2610138449E-0017
2.8715317012E+0010  1.2423671090E-0017
2.9000217095E+0010  1.2243997733E-0017
2.9279756438E+0010  1.2068005202E-0017
2.9554160850E+0010  1.1905742718E-0017
2.9823412091E+0010  1.1755732090E-0017
3.0087515700E+0010  1.1606381931E-0017
3.0346724836E+0010  1.1458210114E-0017
3.0601264094E+0010  1.1318747617E-0017
3.0851178186E+0010  1.1184467900E-0017
3.1096580048E+0010  1.1047243924E-0017
3.1337748632E+0010  1.0907884908E-0017
3.1574930509E+0010  1.0771935496E-0017
3.1808240724E+0010  1.0637845392E-0017
3.2037818903E+0010  1.0499759581E-0017
3.2263921002E+0010  1.0358083726E-0017
3.2486784067E+0010  1.0216385351E-0017
3.2706559771E+0010  1.0074036176E-0017
3.2923406305E+0010  9.9279471200E-0018
3.3137541688E+0010  9.7786602923E-0018
3.3349165933E+0010  9.6279894615E-0018
3.3558434853E+0010  9.4763014306E-0018
3.3765492208E+0010  9.3227082196E-0018
3.3970497056E+0010  9.1675102036E-0018
3.4173599107E+0010  9.0114295634E-0018
3.4374929474E+0010  8.8551667171E-0018
3.4574601217E+0010  8.6991068201E-0018
3.4772717041E+0010  8.5436188304E-0018
3.4969368983E+0010  8.3894171728E-0018
3.5164631078E+0010  8.2373794538E-0018
3.5358554793E+0010  8.0880321534E-0018
3.5551177036E+0010  7.9417101726E-0018
3.5742523865E+0010  7.7987977302E-0018
3.5932609834E+0010  7.6598621749E-0018
3.6121432487E+0010  7.5254737257E-0018
3.6308972018E+0010  7.3960667952E-0018
3.6495194630E+0010  7.2720109816E-0018
3.6680053193E+0010  7.1537847368E-0018
3.6863484919E+0010  7.0418982163E-0018
3.7045410230E+0010  6.9366975270E-0018
3.7225737019E+0010  6.8383315572E-0018
3.7404366052E+0010  6.7468416938E-0018
3.7581194228E+0010  6.6621452244E-0018
3.7756118290E+0010  6.5840126586E-0018
3.7929039802E+0010  6.5119979975E-0018
3.8099870642E+0010  6.4454465093E-0018
3.8268539285E+0010  6.3834898649E-0018
3.8434996624E+0010  6.3251126045E-0018
3.8599219306E+0010  6.2691346610E-0018
3.8761213849E+0010  6.2142068020E-0018
3.8921020070E+0010  6.1588591522E-0018
