  
  
#r(i) [cm]  rho(i) [g/cm^-3]
  
1.0290287615E+0010  1.9581196083E-0013
1.0293584364E+0010  1.8952065168E-0013
1.0296940694E+0010  1.8337929089E-0013
1.0300358616E+0010  1.7738482627E-0013
1.0303840241E+0010  1.7153516814E-0013
1.0307387770E+0010  1.6582736880E-0013
1.0311003517E+0010  1.6025900597E-0013
1.0314689906E+0010  1.5482780008E-0013
1.0318449474E+0010  1.4953095253E-0013
1.0322284896E+0010  1.4436679854E-0013
1.0326198958E+0010  1.3933205471E-0013
1.0330194616E+0010  1.3442486352E-0013
1.0334274964E+0010  1.2964223466E-0013
1.0338443278E+0010  1.2498236275E-0013
1.0342702999E+0010  1.2044299438E-0013
1.0347057752E+0010  1.1602222656E-0013
1.0351511350E+0010  1.1171824626E-0013
1.0356067805E+0010  1.0752848582E-0013
1.0360731369E+0010  1.0345126092E-0013
1.0365506517E+0010  9.9484230403E-0014
1.0370397998E+0010  9.5626145007E-0014
1.0375410795E+0010  9.1874640599E-0014
1.0380550203E+0010  8.8228028863E-0014
1.0385821815E+0010  8.4684245949E-0014
1.0391231571E+0010  8.1241861138E-0014
1.0396785741E+0010  7.7899527819E-0014
1.0402490940E+0010  7.4655772441E-0014
1.0408354159E+0010  7.1508570271E-0014
1.0414382839E+0010  6.8456149035E-0014
1.0420584880E+0010  6.5497065961E-0014
1.0426968657E+0010  6.2630287078E-0014
1.0433542999E+0010  5.9853697926E-0014
1.0440317340E+0010  5.7166386377E-0014
1.0447301623E+0010  5.4566760183E-0014
1.0454506416E+0010  5.2053774382E-0014
1.0461942875E+0010  4.9626337226E-0014
1.0469622774E+0010  4.7282630477E-0014
1.0477558658E+0010  4.5021153656E-0014
1.0485763840E+0010  4.2841190432E-0014
1.0494252297E+0010  4.0740876904E-0014
1.0503038920E+0010  3.8718750768E-0014
1.0512139483E+0010  3.6773843384E-0014
1.0521570573E+0010  3.4904346483E-0014
1.0531349820E+0010  3.3108558462E-0014
1.0541495937E+0010  3.1384773701E-0014
